index,parcel_id,warehouse_id,distance_km,distance_m
126,12,5,670.1837,670183.7
127,12,6,954.8297,954829.7
128,12,7,953.8292,953829.2
129,12,8,403.8097,403809.7
130,12,9,1898.0676,1898067.6
131,12,10,2004.5485,2004548.5
132,12,11,2106.7183,2106718.3
133,13,1,513.2047,513204.7
134,13,2,937.7789,937778.9
135,13,3,937.4061,937406.1
136,13,4,927.6605,927660.5
137,13,5,670.9794,670979.4
138,13,6,955.6253,955625.3
139,13,7,954.6249,954624.9
140,13,8,404.6053,404605.3
141,13,9,1898.8632,1898863.2
142,13,10,2005.3441,2005344.1
143,13,11,2107.5139,2107513.9
144,14,1,607.5134,607513.4
145,14,2,1032.0876,1032087.6
146,14,3,1031.7148,1031714.8
147,14,4,1021.9691,1021969.1
148,14,5,765.288,765288
149,14,6,1049.934,1049934
150,14,7,1048.9335,1048933.5
151,14,8,498.914,498914
152,14,9,1993.1719,1993171.9
153,14,10,2099.6528,2099652.8
154,14,11,2201.8226,2201822.6
155,15,1,602.9265,602926.5
156,15,2,1027.5007,1027500.7
157,15,3,1027.1279,1027127.9
158,15,4,1017.3822,1017382.2
159,15,5,760.7011,760701.1
160,15,6,1045.3471,1045347.1
161,15,7,1044.3466,1044346.6
162,15,8,494.3271,494327.1
163,15,9,1988.585,1988585
164,15,10,2095.0659,2095065.9
165,15,11,2197.2357,2197235.7
166,16,1,610.0217,610021.7
167,16,2,1034.5959,1034595.9
168,16,3,1034.2231,1034223.1
169,16,4,1024.4775,1024477.5
170,16,5,767.7964,767796.4
171,16,6,1052.4424,1052442.4
172,16,7,1051.4419,1051441.9
173,16,8,501.4223,501422.3
174,16,9,1995.6802,1995680.2
175,16,10,2102.1612,2102161.2
176,16,11,2204.3309,2204330.9
177,17,1,629.6575,629657.5
178,17,2,1054.2317,1054231.7
179,17,3,1053.8589,1053858.9
180,17,4,1044.1133,1044113.3
181,17,5,787.4322,787432.2
182,17,6,1072.0781,1072078.1
183,17,7,1071.0777,1071077.7
184,17,8,521.0581,521058.1
185,17,9,2015.316,2015316
186,17,10,2121.7969,2121796.9
187,17,11,2223.9667,2223966.7
